id,name,moduleid,typeid
1,ISO1GasBoxSubSystem,1,2
2,ISO1PressureSubsystem,1,2
3,ISO1ProcessSubsystem,1,2
4,DicingRIEGasBox,2,2
5,DicingRIEPressureSubsystem,2,2
6.DicingRIEPowerSubsystem,2,2

